,poa_global,poa_direct,poa_diffuse,poa_sky_diffuse,poa_ground_diffuse,temp_air
2020-04-12 08:30:00+00:00,258.659680812843,58.35290110483501,200.30677970800804,200.30677970800804,0.0,13.243713
2020-04-12 09:00:00+00:00,318.35309775195026,84.07670274166058,234.27639501028966,234.27639501028966,0.0,14.173859
2020-04-12 09:30:00+00:00,373.11333580132106,114.32179327187276,258.7915425294483,258.7915425294483,0.0,14.798264
2020-04-12 10:00:00+00:00,427.87357385069186,144.56688380208493,283.3066900486069,283.3066900486069,0.0,15.422668
2020-04-12 10:30:00+00:00,455.2211953280387,154.0010770884167,301.22011823962197,301.22011823962197,0.0,15.890472
2020-04-12 11:00:00+00:00,482.5688168053855,163.4352703747485,319.133546430637,319.133546430637,0.0,16.358276
2020-04-12 11:30:00+00:00,480.252817241388,151.46852190190566,328.7842953394824,328.7842953394824,0.0,16.665497
2020-04-12 12:00:00+00:00,477.9368176773906,139.50177342906278,338.4350442483278,338.4350442483278,0.0,16.972717
2020-04-12 12:30:00+00:00,425.1167101889012,97.6655108059168,327.45119938298444,327.45119938298444,0.0,17.058746
2020-04-12 13:00:00+00:00,372.2966027004118,55.82924818277081,316.467354517641,316.467354517641,0.0,17.144775
2020-04-12 13:30:00+00:00,376.2059432164664,69.86490758935203,306.34103562711437,306.34103562711437,0.0,17.228317
2020-04-12 14:00:00+00:00,380.115283732521,83.90056699593325,296.2147167365878,296.2147167365878,0.0,17.31186
2020-04-12 14:30:00+00:00,302.66006166105,49.47259780162461,253.18746385942538,253.18746385942538,0.0,16.831833
2020-04-12 15:00:00+00:00,225.20483958957897,15.044628607315971,210.16021098226298,210.16021098226298,0.0,16.351807
2020-04-12 15:30:00+00:00,186.60809430434628,8.706603476704093,177.9014908276422,177.9014908276422,0.0,15.222427
2020-04-12 16:00:00+00:00,148.0113490191136,2.3685783460922147,145.64277067302137,145.64277067302137,0.0,14.093048
2020-04-12 16:30:00+00:00,118.19275870755484,1.1842891730461074,117.00846953450873,117.00846953450873,0.0,12.84523
2020-04-12 17:00:00+00:00,88.3741683959961,0.0,88.3741683959961,88.3741683959961,0.0,11.597412
2020-04-12 17:30:00+00:00,59.891112327575684,0.0,59.891112327575684,59.891112327575684,0.0,10.824631
2020-04-12 18:00:00+00:00,31.408056259155273,0.0,31.408056259155273,31.408056259155273,0.0,10.051849
2020-04-12 18:30:00+00:00,21.811111450195312,0.0,21.811111450195312,21.811111450195312,0.0,9.419205
2020-04-12 19:00:00+00:00,12.214166641235352,0.0,12.214166641235352,12.214166641235352,0.0,8.78656
2020-04-12 19:30:00+00:00,6.107083320617676,0.0,6.107083320617676,6.107083320617676,0.0,8.295059
2020-04-12 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,7.8035583
2020-04-12 20:30:00+00:00,0.0,0.0,0.0,0.0,0.0,7.4741516
2020-04-12 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,7.144745
2020-04-12 21:30:00+00:00,0.0,0.0,0.0,0.0,0.0,6.9701843
2020-04-12 22:00:00+00:00,0.0,0.0,0.0,0.0,0.0,6.795624
2020-04-12 22:30:00+00:00,0.0,0.0,0.0,0.0,0.0,6.7195587
2020-04-12 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0,6.6434937
2020-04-12 23:30:00+00:00,0.0,0.0,0.0,0.0,0.0,6.5113373
2020-04-13 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,6.379181
2020-04-13 00:30:00+00:00,0.0,0.0,0.0,0.0,0.0,6.09964
2020-04-13 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,5.820099
